cum_deposited_eth,cum_validators,deposited_eth,depositor_entity_category,time
62176,1943.0,62176,CEXs,2021-11-01 00:00:00
92960,2905.0,30784,CEXs,2021-11-08 00:00:00
128672,4021.0,35712,CEXs,2021-11-15 00:00:00
152736,4773.0,24064,CEXs,2021-11-22 00:00:00
208448,6514.0,55712,CEXs,2021-11-29 00:00:00
224064,7002.0,15616,CEXs,2021-12-06 00:00:00
249504,7797.0,25440,CEXs,2021-12-13 00:00:00
262464,8202.0,12960,CEXs,2021-12-20 00:00:00
280192,8756.0,17728,CEXs,2021-12-27 00:00:00
338240,10570.0,58048,CEXs,2022-01-03 00:00:00
377600,11800.0,39360,CEXs,2022-01-10 00:00:00
421856,13183.0,44256,CEXs,2022-01-17 00:00:00
457792,14306.0,35936,CEXs,2022-01-24 00:00:00
475328,14854.0,17536,CEXs,2022-01-31 00:00:00
498848,15589.0,23520,CEXs,2022-02-07 00:00:00
532704,16647.0,33856,CEXs,2022-02-14 00:00:00
557088,17409.0,24384,CEXs,2022-02-21 00:00:00
581472,18171.0,24384,CEXs,2022-02-28 00:00:00
608320,19010.0,26848,CEXs,2022-03-07 00:00:00
630016,19688.0,21696,CEXs,2022-03-14 00:00:00
664960,20780.0,34944,CEXs,2022-03-21 00:00:00
706016,22063.0,41056,CEXs,2022-03-28 00:00:00
730496,22828.0,24480,CEXs,2022-04-04 00:00:00
765792,23931.0,35296,CEXs,2022-04-11 00:00:00
786016,24563.0,20224,CEXs,2022-04-18 00:00:00
813344,25417.0,27328,CEXs,2022-04-25 00:00:00
835520,26110.0,22176,CEXs,2022-05-02 00:00:00
867264,27102.0,31744,CEXs,2022-05-09 00:00:00
914240,28570.0,46976,CEXs,2022-05-16 00:00:00
955008,29844.0,40768,CEXs,2022-05-23 00:00:00
1012064,31627.0,57056,CEXs,2022-05-30 00:00:00
1072640,33520.0,60576,CEXs,2022-06-06 00:00:00
1107552,34611.0,34912,CEXs,2022-06-13 00:00:00
1135808,35494.0,28256,CEXs,2022-06-20 00:00:00
1145344,35792.0,9536,CEXs,2022-06-27 00:00:00
1158624,36207.0,13280,CEXs,2022-07-04 00:00:00
1231008,38469.0,72384,CEXs,2022-07-11 00:00:00
1251136,39098.0,20128,CEXs,2022-07-18 00:00:00
1271168,39724.0,20032,CEXs,2022-07-25 00:00:00
1282848,40089.0,11680,CEXs,2022-08-01 00:00:00
1365888,42684.0,83040,CEXs,2022-08-08 00:00:00
1383424,43232.0,17536,CEXs,2022-08-15 00:00:00
1412352,44136.0,28928,CEXs,2022-08-22 00:00:00
1458656,45583.0,46304,CEXs,2022-08-29 00:00:00
1525376,47668.0,66720,CEXs,2022-09-05 00:00:00
1575680,49240.0,50304,CEXs,2022-09-12 00:00:00
1625248,50789.0,49568,CEXs,2022-09-19 00:00:00
1669472,52171.0,44224,CEXs,2022-09-26 00:00:00
1694080,52940.0,24608,CEXs,2022-10-03 00:00:00
1721120,53785.0,27040,CEXs,2022-10-10 00:00:00
1775008,55469.0,53888,CEXs,2022-10-17 00:00:00
1804160,56380.0,29152,CEXs,2022-10-24 00:00:00
1833984,57312.0,29824,CEXs,2022-10-31 00:00:00
1901472,59421.0,67488,CEXs,2022-11-07 00:00:00
1976832,61776.0,75360,CEXs,2022-11-14 00:00:00
2065056,64533.0,88224,CEXs,2022-11-21 00:00:00
2142144,66942.0,77088,CEXs,2022-11-28 00:00:00
2168928,67779.0,26784,CEXs,2022-12-05 00:00:00
2188576,68393.0,19648,CEXs,2022-12-12 00:00:00
2204288,68884.0,15712,CEXs,2022-12-19 00:00:00
2248768,70274.0,44480,CEXs,2022-12-26 00:00:00
2263424,70732.0,14656,CEXs,2023-01-02 00:00:00
2289184,71537.0,25760,CEXs,2023-01-09 00:00:00
2313440,72295.0,24256,CEXs,2023-01-16 00:00:00
2334336,72948.0,20896,CEXs,2023-01-23 00:00:00
2364416,73888.0,30080,CEXs,2023-01-30 00:00:00
2412864,75402.0,48448,CEXs,2023-02-06 00:00:00
2449856,76558.0,36992,CEXs,2023-02-13 00:00:00
2523712,78866.0,73856,CEXs,2023-02-20 00:00:00
2582624,80707.0,58912,CEXs,2023-02-27 00:00:00
2607712,81491.0,25088,CEXs,2023-03-06 00:00:00
2646944,82717.0,39232,CEXs,2023-03-13 00:00:00
2672064,83502.0,25120,CEXs,2023-03-20 00:00:00
2708160,84630.0,36096,CEXs,2023-03-27 00:00:00
2757408,86169.0,49248,CEXs,2023-04-03 00:00:00
2865600,89550.0,108192,CEXs,2023-04-10 00:00:00
3023488,94484.0,157888,CEXs,2023-04-17 00:00:00
3198400,99950.0,174912,CEXs,2023-04-24 00:00:00
3490688,109084.0,292288,CEXs,2023-05-01 00:00:00
3902144,121942.0,411456,CEXs,2023-05-08 00:00:00
4375360,136730.0,473216,CEXs,2023-05-15 00:00:00
4609664,144052.0,234304,CEXs,2023-05-22 00:00:00
4780320,149385.0,170656,CEXs,2023-05-29 00:00:00
4930176,154068.0,149856,CEXs,2023-06-05 00:00:00
5047584,157737.0,117408,CEXs,2023-06-12 00:00:00
5179072,161846.0,131488,CEXs,2023-06-19 00:00:00
5298080,165565.0,119008,CEXs,2023-06-26 00:00:00
5365824,167682.0,67744,CEXs,2023-07-03 00:00:00
5459648,170614.0,93824,CEXs,2023-07-10 00:00:00
5607328,175229.0,147680,CEXs,2023-07-17 00:00:00
5728000,179000.0,120672,CEXs,2023-07-24 00:00:00
5791488,180984.0,63488,CEXs,2023-07-31 00:00:00
5904320,184510.0,112832,CEXs,2023-08-07 00:00:00
6054624,189207.0,150304,CEXs,2023-08-14 00:00:00
6150368,192199.0,95744,CEXs,2023-08-21 00:00:00
6296416,196763.0,146048,CEXs,2023-08-28 00:00:00
6347072,198346.0,50656,CEXs,2023-09-04 00:00:00
6489600,202800.0,142528,CEXs,2023-09-11 00:00:00
6588544,205892.0,98944,CEXs,2023-09-18 00:00:00
6640800,207525.0,52256,CEXs,2023-09-25 00:00:00
6708448,209639.0,67648,CEXs,2023-10-02 00:00:00
6886336,215198.0,177888,CEXs,2023-10-09 00:00:00
6936960,216780.0,50624,CEXs,2023-10-16 00:00:00
7045120,220160.0,108160,CEXs,2023-10-23 00:00:00
7243328,226354.0,198208,CEXs,2023-10-30 00:00:00
7554336,236073.0,311008,CEXs,2023-11-06 00:00:00
7669856,239683.0,115520,CEXs,2023-11-13 00:00:00
7726400,241450.0,56544,CEXs,2023-11-20 00:00:00
7828768,244649.0,102368,CEXs,2023-11-27 00:00:00
7947424,248357.0,118656,CEXs,2023-12-04 00:00:00
8083040,252595.0,135616,CEXs,2023-12-11 00:00:00
8247936,257748.0,164896,CEXs,2023-12-18 00:00:00
8314528,259829.0,66592,CEXs,2023-12-25 00:00:00
8367904,261497.0,53376,CEXs,2024-01-01 00:00:00
8429504,263422.0,61600,CEXs,2024-01-08 00:00:00
8545728,267054.0,116224,CEXs,2024-01-15 00:00:00
8615328,269229.0,69600,CEXs,2024-01-22 00:00:00
8835872,276121.0,220544,CEXs,2024-01-29 00:00:00
8985984,280812.0,150112,CEXs,2024-02-05 00:00:00
9069568,283424.0,83584,CEXs,2024-02-12 00:00:00
9177888,286809.0,108320,CEXs,2024-02-19 00:00:00
9300192,290631.0,122304,CEXs,2024-02-26 00:00:00
9396832,293651.0,96640,CEXs,2024-03-04 00:00:00
9517376,297418.0,120544,CEXs,2024-03-11 00:00:00
9633056,301033.0,115680,CEXs,2024-03-18 00:00:00
9694528,302954.0,61472,CEXs,2024-03-25 00:00:00
9747296,304603.0,52768,CEXs,2024-04-01 00:00:00
9815264,306727.0,67968,CEXs,2024-04-08 00:00:00
9858624,308082.0,43360,CEXs,2024-04-15 00:00:00
9887328,308979.0,28704,CEXs,2024-04-22 00:00:00
9911936,309748.0,24608,CEXs,2024-04-29 00:00:00
9933536,310423.0,21600,CEXs,2024-05-06 00:00:00
9953312,311041.0,19776,CEXs,2024-05-13 00:00:00
9967552,311486.0,14240,CEXs,2024-05-20 00:00:00
9998368,312449.0,30816,CEXs,2024-05-27 00:00:00
10035328,313604.0,36960,CEXs,2024-06-03 00:00:00
10097984,315562.0,62656,CEXs,2024-06-10 00:00:00
10158944,317467.0,60960,CEXs,2024-06-17 00:00:00
10222304,319447.0,63360,CEXs,2024-06-24 00:00:00
10275712,321116.0,53408,CEXs,2024-07-01 00:00:00
10330080,322815.0,54368,CEXs,2024-07-08 00:00:00
10398400,324950.0,68320,CEXs,2024-07-15 00:00:00
10446080,326440.0,47680,CEXs,2024-07-22 00:00:00
10493696,327928.0,47616,CEXs,2024-07-29 00:00:00
10550400,329700.0,56704,CEXs,2024-08-05 00:00:00
10682112,333816.0,131712,CEXs,2024-08-12 00:00:00
10762016,336313.0,79904,CEXs,2024-08-19 00:00:00
10882624,340082.0,120608,CEXs,2024-08-26 00:00:00
10984608,343269.0,101984,CEXs,2024-09-02 00:00:00
11195072,349846.0,210464,CEXs,2024-09-09 00:00:00
11223488,350734.0,28416,CEXs,2024-09-16 00:00:00
11272192,352256.0,48704,CEXs,2024-09-23 00:00:00
11398880,356215.0,126688,CEXs,2024-09-30 00:00:00
11433088,357284.0,34208,CEXs,2024-10-07 00:00:00
11504608,359519.0,71520,CEXs,2024-10-14 00:00:00
11586848,362089.0,82240,CEXs,2024-10-21 00:00:00
11589632,362176.0,2784,CEXs,2024-10-28 00:00:00
24256,758.0,24256,Liquid Staking,2021-11-01 00:00:00
25664,802.0,1408,Liquid Staking,2021-11-08 00:00:00
79040,2470.0,53376,Liquid Staking,2021-11-15 00:00:00
112816,3525.5,33776,Liquid Staking,2021-11-22 00:00:00
148944,4654.5,36128,Liquid Staking,2021-11-29 00:00:00
201072,6283.5,52128,Liquid Staking,2021-12-06 00:00:00
234912,7341.0,33840,Liquid Staking,2021-12-13 00:00:00
264176,8255.5,29264,Liquid Staking,2021-12-20 00:00:00
288464,9014.5,24288,Liquid Staking,2021-12-27 00:00:00
327504,10234.5,39040,Liquid Staking,2022-01-03 00:00:00
347744,10867.0,20240,Liquid Staking,2022-01-10 00:00:00
422480,13202.5,74736,Liquid Staking,2022-01-17 00:00:00
453440,14170.0,30960,Liquid Staking,2022-01-24 00:00:00
486672,15208.5,33232,Liquid Staking,2022-01-31 00:00:00
538048,16814.0,51376,Liquid Staking,2022-02-07 00:00:00
575088,17971.5,37040,Liquid Staking,2022-02-14 00:00:00
665472,20796.0,90384,Liquid Staking,2022-02-21 00:00:00
788096,24628.0,122624,Liquid Staking,2022-02-28 00:00:00
974016,30438.0,185920,Liquid Staking,2022-03-07 00:00:00
1451008,45344.0,476992,Liquid Staking,2022-03-14 00:00:00
1541488,48171.5,90480,Liquid Staking,2022-03-21 00:00:00
1778256,55570.5,236768,Liquid Staking,2022-03-28 00:00:00
1964480,61390.0,186224,Liquid Staking,2022-04-04 00:00:00
2120032,66251.0,155552,Liquid Staking,2022-04-11 00:00:00
2276992,71156.0,156960,Liquid Staking,2022-04-18 00:00:00
2542368,79449.0,265376,Liquid Staking,2022-04-25 00:00:00
2828880,88402.5,286512,Liquid Staking,2022-05-02 00:00:00
2931520,91610.0,102640,Liquid Staking,2022-05-09 00:00:00
2940672,91896.0,9152,Liquid Staking,2022-05-16 00:00:00
2949008,92156.5,8336,Liquid Staking,2022-05-23 00:00:00
2957664,92427.0,8656,Liquid Staking,2022-05-30 00:00:00
2962464,92577.0,4800,Liquid Staking,2022-06-06 00:00:00
2967984,92749.5,5520,Liquid Staking,2022-06-13 00:00:00
2971456,92858.0,3472,Liquid Staking,2022-06-20 00:00:00
2981328,93166.5,9872,Liquid Staking,2022-06-27 00:00:00
2984064,93252.0,2736,Liquid Staking,2022-07-04 00:00:00
2986832,93338.5,2768,Liquid Staking,2022-07-11 00:00:00
2997584,93674.5,10752,Liquid Staking,2022-07-18 00:00:00
3005248,93914.0,7664,Liquid Staking,2022-07-25 00:00:00
3011280,94102.5,6032,Liquid Staking,2022-08-01 00:00:00
3016128,94254.0,4848,Liquid Staking,2022-08-08 00:00:00
3021968,94436.5,5840,Liquid Staking,2022-08-15 00:00:00
3028192,94631.0,6224,Liquid Staking,2022-08-22 00:00:00
3033744,94804.5,5552,Liquid Staking,2022-08-29 00:00:00
3041056,95033.0,7312,Liquid Staking,2022-09-05 00:00:00
3067776,95868.0,26720,Liquid Staking,2022-09-12 00:00:00
3119200,97475.0,51424,Liquid Staking,2022-09-19 00:00:00
3176416,99263.0,57216,Liquid Staking,2022-09-26 00:00:00
3201088,100034.0,24672,Liquid Staking,2022-10-03 00:00:00
3220288,100634.0,19200,Liquid Staking,2022-10-10 00:00:00
3263221,101975.65625,42933,Liquid Staking,2022-10-17 00:00:00
3420800,106900.0,157579,Liquid Staking,2022-10-24 00:00:00
3498576,109330.5,77776,Liquid Staking,2022-10-31 00:00:00
3532208,110381.5,33632,Liquid Staking,2022-11-07 00:00:00
3575920,111747.5,43712,Liquid Staking,2022-11-14 00:00:00
3596432,112388.5,20512,Liquid Staking,2022-11-21 00:00:00
3620656,113145.5,24224,Liquid Staking,2022-11-28 00:00:00
3646208,113944.0,25552,Liquid Staking,2022-12-05 00:00:00
3673264,114789.5,27056,Liquid Staking,2022-12-12 00:00:00
3686896,115215.5,13632,Liquid Staking,2022-12-19 00:00:00
3701904,115684.5,15008,Liquid Staking,2022-12-26 00:00:00
3725296,116415.5,23392,Liquid Staking,2023-01-02 00:00:00
3757392,117418.5,32096,Liquid Staking,2023-01-09 00:00:00
3821744,119429.5,64352,Liquid Staking,2023-01-16 00:00:00
3921920,122560.0,100176,Liquid Staking,2023-01-23 00:00:00
3984608,124519.0,62688,Liquid Staking,2023-01-30 00:00:00
4039792,126243.5,55184,Liquid Staking,2023-02-06 00:00:00
4117904,128684.5,78112,Liquid Staking,2023-02-13 00:00:00
4432400,138512.5,314496,Liquid Staking,2023-02-20 00:00:00
4690896,146590.5,258496,Liquid Staking,2023-02-27 00:00:00
4763600,148862.5,72704,Liquid Staking,2023-03-06 00:00:00
4809920,150310.0,46320,Liquid Staking,2023-03-13 00:00:00
4864960,152030.0,55040,Liquid Staking,2023-03-20 00:00:00
4900512,153141.0,35552,Liquid Staking,2023-03-27 00:00:00
4931776,154118.0,31264,Liquid Staking,2023-04-03 00:00:00
5015456,156733.0,83680,Liquid Staking,2023-04-10 00:00:00
5181865,161933.28125,166409,Liquid Staking,2023-04-17 00:00:00
5320546,166267.0625,138681,Liquid Staking,2023-04-24 00:00:00
5501745,171929.53125,181199,Liquid Staking,2023-05-01 00:00:00
5771251,180351.59375,269506,Liquid Staking,2023-05-08 00:00:00
6060669,189395.90625,289418,Liquid Staking,2023-05-15 00:00:00
6433124,201035.125,372455,Liquid Staking,2023-05-22 00:00:00
6717841,209932.53125,284717,Liquid Staking,2023-05-29 00:00:00
6885713,215178.53125,167872,Liquid Staking,2023-06-05 00:00:00
6985895,218309.21875,100182,Liquid Staking,2023-06-12 00:00:00
7154695,223584.21875,168800,Liquid Staking,2023-06-19 00:00:00
7310538,228454.3125,155843,Liquid Staking,2023-06-26 00:00:00
7405575,231424.21875,95037,Liquid Staking,2023-07-03 00:00:00
7585120,237035.0,179545,Liquid Staking,2023-07-10 00:00:00
7674099,239815.59375,88979,Liquid Staking,2023-07-17 00:00:00
7803241,243851.28125,129142,Liquid Staking,2023-07-24 00:00:00
7886103,246440.71875,82862,Liquid Staking,2023-07-31 00:00:00
8019747,250617.09375,133644,Liquid Staking,2023-08-07 00:00:00
8144659,254520.59375,124912,Liquid Staking,2023-08-14 00:00:00
8352172,261005.375,207513,Liquid Staking,2023-08-21 00:00:00
8518886,266215.1875,166714,Liquid Staking,2023-08-28 00:00:00
8587436,268357.375,68550,Liquid Staking,2023-09-04 00:00:00
8666818,270838.0625,79382,Liquid Staking,2023-09-11 00:00:00
8762168,273817.75,95350,Liquid Staking,2023-09-18 00:00:00
8836342,276135.6875,74174,Liquid Staking,2023-09-25 00:00:00
8897844,278057.625,61502,Liquid Staking,2023-10-02 00:00:00
8996852,281151.625,99008,Liquid Staking,2023-10-09 00:00:00
9050375,282824.21875,53523,Liquid Staking,2023-10-16 00:00:00
9103564,284486.375,53189,Liquid Staking,2023-10-23 00:00:00
9239894,288746.6875,136330,Liquid Staking,2023-10-30 00:00:00
9352009,292250.28125,112115,Liquid Staking,2023-11-06 00:00:00
9423551,294485.96875,71542,Liquid Staking,2023-11-13 00:00:00
9674648,302332.75,251097,Liquid Staking,2023-11-20 00:00:00
9982042,311938.8125,307394,Liquid Staking,2023-11-27 00:00:00
10023522,313235.0625,41480,Liquid Staking,2023-12-04 00:00:00
10034495,313577.96875,10973,Liquid Staking,2023-12-11 00:00:00
10066077,314564.90625,31582,Liquid Staking,2023-12-18 00:00:00
10253404,320418.875,187327,Liquid Staking,2023-12-25 00:00:00
10322077,322564.90625,68673,Liquid Staking,2024-01-01 00:00:00
10408486,325265.1875,86409,Liquid Staking,2024-01-08 00:00:00
10453976,326686.75,45490,Liquid Staking,2024-01-15 00:00:00
10531909,329122.15625,77933,Liquid Staking,2024-01-22 00:00:00
10650319,332822.46875,118410,Liquid Staking,2024-01-29 00:00:00
10878861,339964.40625,228542,Liquid Staking,2024-02-05 00:00:00
11067985,345874.53125,189124,Liquid Staking,2024-02-12 00:00:00
11098041,346813.78125,30056,Liquid Staking,2024-02-19 00:00:00
11149572,348424.125,51531,Liquid Staking,2024-02-26 00:00:00
11174343,349198.21875,24771,Liquid Staking,2024-03-04 00:00:00
11176428,349263.375,2085,Liquid Staking,2024-03-11 00:00:00
11179617,349363.03125,3189,Liquid Staking,2024-03-18 00:00:00
11183777,349493.03125,4160,Liquid Staking,2024-03-25 00:00:00
11186865,349589.53125,3088,Liquid Staking,2024-04-01 00:00:00
11196308,349884.625,9443,Liquid Staking,2024-04-08 00:00:00
11217642,350551.3125,21334,Liquid Staking,2024-04-15 00:00:00
11257242,351788.8125,39600,Liquid Staking,2024-04-22 00:00:00
11283362,352605.0625,26120,Liquid Staking,2024-04-29 00:00:00
11316840,353651.25,33478,Liquid Staking,2024-05-06 00:00:00
11336702,354271.9375,19862,Liquid Staking,2024-05-13 00:00:00
11557248,361164.0,220546,Liquid Staking,2024-05-20 00:00:00
11763811,367619.09375,206563,Liquid Staking,2024-05-27 00:00:00
11794576,368580.5,30765,Liquid Staking,2024-06-03 00:00:00
11848195,370256.09375,53619,Liquid Staking,2024-06-10 00:00:00
11977043,374282.59375,128848,Liquid Staking,2024-06-17 00:00:00
12076690,377396.5625,99647,Liquid Staking,2024-06-24 00:00:00
12118916,378716.125,42226,Liquid Staking,2024-07-01 00:00:00
12138049,379314.03125,19133,Liquid Staking,2024-07-08 00:00:00
12246442,382701.3125,108393,Liquid Staking,2024-07-15 00:00:00
12286763,383961.34375,40321,Liquid Staking,2024-07-22 00:00:00
12307061,384595.65625,20298,Liquid Staking,2024-07-29 00:00:00
12321771,385055.34375,14710,Liquid Staking,2024-08-05 00:00:00
12401166,387536.4375,79395,Liquid Staking,2024-08-12 00:00:00
12407474,387733.5625,6308,Liquid Staking,2024-08-19 00:00:00
12466238,389569.9375,58764,Liquid Staking,2024-08-26 00:00:00
12480574,390017.9375,14336,Liquid Staking,2024-09-02 00:00:00
12483553,390111.03125,2979,Liquid Staking,2024-09-09 00:00:00
12485783,390180.71875,2230,Liquid Staking,2024-09-16 00:00:00
12545759,392054.96875,59976,Liquid Staking,2024-09-23 00:00:00
12575341,392979.40625,29582,Liquid Staking,2024-09-30 00:00:00
12631983,394749.46875,56642,Liquid Staking,2024-10-07 00:00:00
12663948,395748.375,31965,Liquid Staking,2024-10-14 00:00:00
12729933,397810.40625,65985,Liquid Staking,2024-10-21 00:00:00
12745542,398298.1875,15609,Liquid Staking,2024-10-28 00:00:00
1536,48.0,1536,Staking Pools,2021-11-01 00:00:00
